name,year,rating,votes,reviews,Title Type
The Suicide Squad,2021,7.2,444431,https://www.imdb.com/title/tt6334354/,Movie
The Veil,2024,6.4,9487,https://www.imdb.com/title/tt21433150/,TV Mini Series
The Warrant: Breaker's Law,2023,5.1,435,https://www.imdb.com/title/tt18560250/,Movie
The Wolverine,2013,6.7,516557,https://www.imdb.com/title/tt1430132/,Movie
Thor,2011,7,945995,https://www.imdb.com/title/tt0800369/,Movie
Thor: Ragnarok,2017,7.9,870681,https://www.imdb.com/title/tt3501632/,Movie
Thor: Love and Thunder,2022,6.1,444749,https://www.imdb.com/title/tt10648342/,Movie
Those Who Wish Me Dead,2021,6,76995,https://www.imdb.com/title/tt3215824/,Movie
To Catch a Killer,2023,6.6,54096,https://www.imdb.com/title/tt10275534/,Movie
Toy Story,1995,8.3,1141106,https://www.imdb.com/title/tt0114709/,Movie
Toy Story 2,1999,7.9,653546,https://www.imdb.com/title/tt0120363/,Movie
Toy Story 3,2010,8.3,945435,https://www.imdb.com/title/tt0435761/,Movie
Toy Story 4,2019,7.6,303364,https://www.imdb.com/title/tt1979376/,Movie
Transformers: Rise of the Beasts,2023,6,126384,https://www.imdb.com/title/tt5090568/,Movie
Trevor Wallace: Pterodactyl,2023,5.8,261,https://www.imdb.com/title/tt29536646/,Movie
Triple Frontier,2019,6.5,156885,https://www.imdb.com/title/tt1488606/,Movie
Trolls,2016,6.4,98266,https://www.imdb.com/title/tt1679335/,Movie
True Legend,2010,6.4,9427,https://www.imdb.com/title/tt1425257/,Movie
Tulip Fever,2017,6.2,24055,https://www.imdb.com/title/tt0491203/,Movie
Turning Red,2022,6.9,168467,https://www.imdb.com/title/tt8097030/,Movie
Unfrosted,2024,5.5,35712,https://www.imdb.com/title/tt14914430/,Movie
Up,2009,8.3,1201701,https://www.imdb.com/title/tt1049413/,Movie
Uproar,2023,6.7,1728,https://www.imdb.com/title/tt20255028/,Movie
Venom,2018,6.6,589760,https://www.imdb.com/title/tt1270797/,Movie
Venom: Let There Be Carnage,2021,5.9,294355,https://www.imdb.com/title/tt7097896/,Movie
Venom: The Last Dance,2024,6,140558,https://www.imdb.com/title/tt16366836/,Movie
Walden,2023,6,2731,https://www.imdb.com/title/tt21202916/,Movie
WALL·E,2008,8.4,1281424,https://www.imdb.com/title/tt0910970/,Movie
Warhorse One,2023,5.4,2975,https://www.imdb.com/title/tt16527824/,Movie
What Jennifer Did,2024,6.1,11986,https://www.imdb.com/title/tt31747163/,Movie
Where Hands Touch,2018,6.6,6141,https://www.imdb.com/title/tt1235187/,Movie
Why Be Good?,1929,7.2,633,https://www.imdb.com/title/tt0020585/,Movie
Wicked Little Letters,2023,7,40577,https://www.imdb.com/title/tt20234774/,Movie
Wildflower,2022,6.8,5157,https://www.imdb.com/title/tt12024308/,Movie
Willow,1988,7.2,136926,https://www.imdb.com/title/tt0096446/,Movie
Windcatcher,2024,5.4,423,https://www.imdb.com/title/tt29353893/,Movie
Wonder Woman,2017,7.3,726550,https://www.imdb.com/title/tt0451279/,Movie
Wonder Woman 1984,2020,5.3,306020,https://www.imdb.com/title/tt7126948/,Movie
Wonka,2023,6.9,182041,https://www.imdb.com/title/tt6166392/,Movie
X-Men,2000,7.3,680501,https://www.imdb.com/title/tt0120903/,Movie
X-Men Origins: Wolverine,2009,6.5,559831,https://www.imdb.com/title/tt0458525/,Movie
X-Men: Apocalypse,2016,6.8,484279,https://www.imdb.com/title/tt3385516/,Movie
X-Men: Days of Future Past,2014,7.9,777030,https://www.imdb.com/title/tt1877832/,Movie
X-Men: First Class,2011,7.7,753388,https://www.imdb.com/title/tt1270798/,Movie
X-Men: The Last Stand,2006,6.6,564676,https://www.imdb.com/title/tt0376994/,Movie
X2: X-Men United,2003,7.4,603023,https://www.imdb.com/title/tt0290334/,Movie
You'll Never Find Me,2023,5.8,8711,https://www.imdb.com/title/tt22023218/,Movie
Young Adult,2011,6.3,89491,https://www.imdb.com/title/tt1625346/,Movie
Zack Snyder's Justice League,2021,7.9,463958,https://www.imdb.com/title/tt12361974/,Movie
Zimbelism,2015,7.4,57,https://www.imdb.com/title/tt5568716/,Movie
Zootopia,2016,8,592273,https://www.imdb.com/title/tt2948356/,Movie
